num_individuals,num_neighbors,num_facts,starting_knowledge,investigation_probability,philosophy,truth_mean,truth_total,false_mean,false_total
8,8,300,15,0.2,skeptical,0.5648809523809524,66,0.4351190476190476,51
8,8,300,15,0.2,reid,0.5309278350515464,412,0.4690721649484536,364
8,8,300,15,0.2,reid,0.7287234042553192,548,0.2712765957446809,204
8,8,300,15,0.2,reid,0.7121212121212122,564,0.2878787878787879,228
8,8,300,15,0.2,reid,0.5924999999999999,474,0.40750000000000003,326
8,8,300,15,0.2,reid,0.5350467289719626,458,0.46495327102803735,398
8,8,300,15,0.2,reid,0.8205445544554455,663,0.17945544554455442,145
8,8,300,15,0.2,reid,0.5416666666666667,416,0.4583333333333333,352
8,8,300,15,0.2,reid,0.5991847826086957,441,0.40081521739130443,295
8,8,300,15,0.2,reid,0.4865196078431373,397,0.5134803921568627,419
8,8,300,15,0.2,reid,0.55,418,0.45,342
8,8,300,15,0.2,direct,0.5546116504854368,457,0.4453883495145631,367
8,8,300,15,0.2,direct,0.7474747474747474,592,0.25252525252525254,200
8,8,300,15,0.2,direct,0.5631313131313131,446,0.43686868686868685,346
8,8,300,15,0.2,direct,0.6875,506,0.3125,230
8,8,300,15,0.2,direct,0.5579896907216494,433,0.4420103092783505,343
8,8,300,15,0.2,direct,0.58875,471,0.41125000000000006,329
8,8,300,15,0.2,direct,0.5606435643564357,453,0.43935643564356436,355
8,8,300,15,0.2,direct,0.5162500000000001,413,0.48375,387
8,8,300,15,0.2,direct,0.6642156862745099,542,0.3357843137254902,274
8,8,300,15,0.2,direct,0.5025773195876289,390,0.49742268041237114,386
8,8,300,15,0.2,indirect,0.571078431372549,466,0.428921568627451,350
8,8,300,15,0.2,indirect,0.7308673469387754,573,0.2691326530612245,211
8,8,300,15,0.2,indirect,0.4878640776699029,402,0.5121359223300971,422
8,8,300,15,0.2,indirect,0.5561224489795918,436,0.44387755102040816,348
8,8,300,15,0.2,indirect,0.5659340659340659,412,0.4340659340659341,316
8,8,300,15,0.2,indirect,0.5997340425531915,451,0.40026595744680854,301
8,8,300,15,0.2,indirect,0.5892857142857143,462,0.4107142857142857,322
8,8,300,15,0.2,indirect,0.6516990291262137,537,0.34830097087378636,287
8,8,300,15,0.2,indirect,0.6649484536082474,516,0.33505154639175255,260
8,8,300,15,0.2,indirect,0.5917553191489362,445,0.4082446808510638,307
8,8,300,15,0.4,skeptical,0.6241758241758242,72,0.3758241758241759,43
8,8,300,15,0.4,skeptical,0.5392857142857144,63,0.46071428571428574,54
8,8,300,15,0.4,skeptical,0.5943681318681319,69,0.40563186813186813,48
8,8,300,15,0.4,skeptical,0.5666666666666667,65,0.43333333333333335,51
8,8,300,15,0.4,skeptical,0.5523809523809523,64,0.4476190476190476,52
8,8,300,15,0.4,skeptical,0.5739468864468864,67,0.42605311355311354,50
8,8,300,15,0.4,skeptical,0.4011904761904762,47,0.5988095238095238,70
8,8,300,15,0.4,skeptical,0.6351190476190476,74,0.36488095238095236,42
8,8,300,15,0.4,skeptical,0.6261904761904763,75,0.37380952380952387,44
8,8,300,15,0.4,skeptical,0.5650641025641026,67,0.4349358974358975,50
8,8,300,15,0.4,reid,0.6888020833333334,529,0.3111979166666667,239
8,8,300,15,0.4,reid,0.6122448979591838,480,0.3877551020408164,304
8,8,300,15,0.4,reid,0.6586021505376344,490,0.3413978494623657,254
8,8,300,15,0.4,reid,0.61328125,471,0.38671875,297
8,8,300,15,0.4,reid,0.4302884615384615,358,0.5697115384615383,474
8,8,300,15,0.4,reid,0.5762499999999999,461,0.42375,339
8,8,300,15,0.4,reid,0.5611702127659575,422,0.43882978723404253,330
8,8,300,15,0.4,reid,0.5833333333333334,462,0.41666666666666674,330
8,8,300,15,0.4,reid,0.4803921568627451,392,0.5196078431372549,424
8,8,300,15,0.4,reid,0.4558080808080808,361,0.5441919191919192,431
8,8,300,15,0.4,direct,0.63659793814433,494,0.3634020618556701,282
8,8,300,15,0.4,direct,0.7010309278350516,544,0.2989690721649484,232
8,8,300,15,0.4,direct,0.3372395833333333,259,0.6627604166666666,509
8,8,300,15,0.4,direct,0.8112745098039215,662,0.18872549019607843,154
8,8,300,15,0.4,direct,0.6199494949494949,491,0.380050505050505,301
8,8,300,15,0.4,direct,0.7236842105263157,550,0.2763157894736842,210
8,8,300,15,0.4,direct,0.42647058823529405,348,0.573529411764706,468
8,8,300,15,0.4,direct,0.5371287128712872,434,0.46287128712871284,374
8,8,300,15,0.4,direct,0.5497448979591837,431,0.4502551020408163,353
8,8,300,15,0.4,direct,0.4542079207920792,367,0.5457920792079208,441
8,8,300,15,0.4,indirect,0.788563829787234,593,0.21143617021276598,159
8,8,300,15,0.4,indirect,0.7487864077669902,617,0.25121359223300965,207
8,8,300,15,0.4,indirect,0.6456310679611651,532,0.3543689320388349,292
8,8,300,15,0.4,indirect,0.5598958333333334,430,0.44010416666666663,338
8,8,300,15,0.4,indirect,0.6825980392156863,557,0.31740196078431376,259
8,8,300,15,0.4,indirect,0.5133495145631067,423,0.48665048543689327,401
8,8,300,15,0.4,indirect,0.5598958333333334,430,0.44010416666666663,338
8,8,300,15,0.4,indirect,0.7079207920792078,572,0.29207920792079206,236
8,8,300,15,0.4,indirect,0.7395833333333334,568,0.2604166666666667,200
8,8,300,15,0.4,indirect,0.48484848484848486,384,0.5151515151515151,408
8,8,300,15,0.6000000000000001,skeptical,0.6577380952380953,77,0.34226190476190477,40
8,8,300,15,0.6000000000000001,skeptical,0.5077380952380952,59,0.49226190476190484,57
8,8,300,15,0.6000000000000001,skeptical,0.6964285714285714,82,0.30357142857142855,36
8,8,300,15,0.6000000000000001,skeptical,0.7773809523809523,92,0.2226190476190476,26
8,8,300,15,0.6000000000000001,skeptical,0.4023809523809524,47,0.5976190476190476,70
8,8,300,15,0.6000000000000001,skeptical,0.38869047619047614,46,0.6113095238095237,71
8,8,300,15,0.6000000000000001,skeptical,0.4642857142857143,55,0.5357142857142858,64
8,8,300,15,0.6000000000000001,skeptical,0.6404761904761904,75,0.3595238095238095,42
8,8,300,15,0.6000000000000001,skeptical,0.7380952380952381,86,0.2619047619047619,30
8,8,300,15,0.6000000000000001,skeptical,0.6494047619047619,76,0.3505952380952381,40
8,8,300,15,0.6000000000000001,reid,0.6607142857142858,518,0.33928571428571425,266
8,8,300,15,0.6000000000000001,reid,0.428921568627451,350,0.571078431372549,466
8,8,300,15,0.6000000000000001,reid,0.5241935483870968,390,0.47580645161290325,354
8,8,300,15,0.6000000000000001,reid,0.6587500000000001,527,0.34125,273
8,8,300,15,0.6000000000000001,reid,0.611904761904762,514,0.3880952380952381,326
8,8,300,15,0.6000000000000001,reid,0.7016129032258066,522,0.29838709677419356,222
8,8,300,15,0.6000000000000001,reid,0.5625,423,0.4375,329
8,8,300,15,0.6000000000000001,reid,0.6596534653465347,533,0.3403465346534653,275
8,8,300,15,0.6000000000000001,reid,0.5728155339805826,472,0.4271844660194174,352
8,8,300,15,0.6000000000000001,reid,0.7018229166666666,539,0.2981770833333333,229
8,8,300,15,0.6000000000000001,direct,0.7157894736842106,544,0.28421052631578947,216
8,8,300,15,0.6000000000000001,direct,0.6780303030303031,537,0.32196969696969696,255
8,8,300,15,0.6000000000000001,direct,0.425,323,0.5750000000000001,437
8,8,300,15,0.6000000000000001,direct,0.5837378640776699,481,0.4162621359223301,343
8,8,300,15,0.6000000000000001,direct,0.6375000000000001,510,0.3625,290
8,8,300,15,0.6000000000000001,direct,0.6145833333333334,472,0.3854166666666667,296
8,8,300,15,0.6000000000000001,direct,0.4975247524752475,402,0.5024752475247525,406
8,8,300,15,0.6000000000000001,direct,0.5529891304347825,407,0.44701086956521735,329
8,8,300,15,0.6000000000000001,direct,0.44750000000000006,358,0.5525,442
8,8,300,15,0.6000000000000001,direct,0.5453431372549019,445,0.4546568627450981,371
8,8,300,15,0.6000000000000001,indirect,0.7525510204081632,590,0.24744897959183673,194
8,8,300,15,0.6000000000000001,indirect,0.5517676767676768,437,0.4482323232323232,355
8,8,300,15,0.6000000000000001,indirect,0.625,505,0.37499999999999994,303
8,8,300,15,0.6000000000000001,indirect,0.5502450980392156,449,0.4497549019607844,367
8,8,300,15,0.6000000000000001,indirect,0.581989247311828,433,0.41801075268817206,311
8,8,300,15,0.6000000000000001,indirect,0.6472772277227723,523,0.35272277227722765,285
8,8,300,15,0.6000000000000001,indirect,0.6893564356435643,557,0.31064356435643564,251
8,8,300,15,0.6000000000000001,indirect,0.6737500000000001,539,0.32625000000000004,261
8,8,300,15,0.6000000000000001,indirect,0.6442307692307693,536,0.3557692307692308,296
8,8,300,15,0.6000000000000001,indirect,0.4858247422680413,377,0.5141752577319587,399
8,8,300,15,0.8,skeptical,0.7141941391941393,82,0.2858058608058608,33
8,8,300,15,0.8,skeptical,0.675,81,0.32499999999999996,39
8,8,300,15,0.8,skeptical,0.5750000000000001,69,0.42499999999999993,51
8,8,300,15,0.8,skeptical,0.6184523809523809,72,0.381547619047619,45
8,8,300,15,0.8,skeptical,0.593864468864469,69,0.4061355311355312,48
